species,x,y
Solanum elaeagnifolium,-61.29427,-38.98466
Solanum elaeagnifolium,-62.26501,-38.70266
Solanum elaeagnifolium,-61.87738,-38.29944
Solanum elaeagnifolium,144.3667,-38.0667
Solanum elaeagnifolium,144.9,-37.8833
Solanum elaeagnifolium,144.9010659,-37.88202099
Solanum elaeagnifolium,144.9010029,-37.88193932
Solanum elaeagnifolium,144.9,-37.88
Solanum elaeagnifolium,144.9,-37.88
Solanum elaeagnifolium,144.9,-37.8667
Solanum elaeagnifolium,-71.37389,-37.8525
Solanum elaeagnifolium,-71.37389,-37.8525
Solanum elaeagnifolium,-71.37389,-37.8525
Solanum elaeagnifolium,-71.37398,-37.85249
Solanum elaeagnifolium,-71.37398,-37.85249
Solanum elaeagnifolium,-71.37398,-37.85249
Solanum elaeagnifolium,-71.37398,-37.85249
Solanum elaeagnifolium,-71.37398,-37.85249
Solanum elaeagnifolium,144.95,-37.8
Solanum elaeagnifolium,144.95,-37.8
Solanum elaeagnifolium,144.95,-37.8
Solanum elaeagnifolium,144.9,-37.8
Solanum elaeagnifolium,144.95,-37.8
Solanum elaeagnifolium,144.9333,-37.8
Solanum elaeagnifolium,144.95,-37.8
Solanum elaeagnifolium,144.87007,-37.64291
Solanum elaeagnifolium,144.86,-37.63
Solanum elaeagnifolium,140.3552852,-37.59733746
Solanum elaeagnifolium,-64.53,-37.41
Solanum elaeagnifolium,-70.28,-37.38
Solanum elaeagnifolium,-70.28,-37.38
Solanum elaeagnifolium,-70.28,-37.38
Solanum elaeagnifolium,140.5769383,-37.26122348
Solanum elaeagnifolium,140.7849939,-37.10316078
Solanum elaeagnifolium,140.78,-37.1
Solanum elaeagnifolium,140.7833,-37.1
Solanum elaeagnifolium,140.77,-37.1
Solanum elaeagnifolium,140.7833,-37.1
Solanum elaeagnifolium,140.7833,-37.1
Solanum elaeagnifolium,140.7872138,-37.09511071
Solanum elaeagnifolium,-64.28,-37.03
Solanum elaeagnifolium,140.8,-37
Solanum elaeagnifolium,-59.85,-36.78
Solanum elaeagnifolium,142.3925,-36.7253
Solanum elaeagnifolium,142.3925,-36.7253
Solanum elaeagnifolium,142.3925,-36.7252
Solanum elaeagnifolium,142.3925,-36.7252
Solanum elaeagnifolium,142.2,-36.7167
Solanum elaeagnifolium,142.3366415,-36.71148569
Solanum elaeagnifolium,142.3366415,-36.71148569
Solanum elaeagnifolium,142.3366415,-36.71148569
Solanum elaeagnifolium,142.25,-36.6667
Solanum elaeagnifolium,140.86179,-36.49476
Solanum elaeagnifolium,144.75,-36.4833
Solanum elaeagnifolium,146.2167,-36.4667
Solanum elaeagnifolium,140.59583,-36.37389004
Solanum elaeagnifolium,140.7391545,-36.3234366
Solanum elaeagnifolium,140.774984,-36.31427625
Solanum elaeagnifolium,144.0167,-36.3
Solanum elaeagnifolium,144.0188368,-36.29897004
Solanum elaeagnifolium,144.0188368,-36.29897004
Solanum elaeagnifolium,144.0188368,-36.29897004
Solanum elaeagnifolium,144.06667,-36.26667
Solanum elaeagnifolium,144.25,-36.2167
Solanum elaeagnifolium,140.3563764,-36.15065875
Solanum elaeagnifolium,140.3563764,-36.15065875
Solanum elaeagnifolium,140.3563764,-36.15065875
Solanum elaeagnifolium,143.7167,-36.1167
Solanum elaeagnifolium,140.3544258,-36.09815847
Solanum elaeagnifolium,140.3544258,-36.09815847
Solanum elaeagnifolium,140.3544258,-36.09815847
Solanum elaeagnifolium,140.3544258,-36.09815847
Solanum elaeagnifolium,140.3544258,-36.09815847
Solanum elaeagnifolium,144.6333,-35.9167
Solanum elaeagnifolium,146.0753,-35.91669003
Solanum elaeagnifolium,144.63,-35.91
Solanum elaeagnifolium,144.6,-35.9
Solanum elaeagnifolium,-70.8906,-35.8156
Solanum elaeagnifolium,-70.8906,-35.8156
Solanum elaeagnifolium,-70.8906,-35.8156
Solanum elaeagnifolium,-70.8906,-35.8156
Solanum elaeagnifolium,-70.8906,-35.8156
Solanum elaeagnifolium,144.6,-35.8
Solanum elaeagnifolium,146.9,-35.77
Solanum elaeagnifolium,145.56429,-35.70172003
Solanum elaeagnifolium,146.9,-35.7
Solanum elaeagnifolium,147.02,-35.67
Solanum elaeagnifolium,147.02,-35.67
Solanum elaeagnifolium,147.02,-35.67
Solanum elaeagnifolium,145.8,-35.67
Solanum elaeagnifolium,137.59667,-35.66833
Solanum elaeagnifolium,145.57,-35.65
Solanum elaeagnifolium,145.57,-35.65
Solanum elaeagnifolium,145.57,-35.65
Solanum elaeagnifolium,138.22253,-35.64167
Solanum elaeagnifolium,145.5677,-35.632005
Solanum elaeagnifolium,137.4872287,-35.60984913
Solanum elaeagnifolium,145.6,-35.6
Solanum elaeagnifolium,145.8,-35.6
Solanum elaeagnifolium,145.6,-35.6
Solanum elaeagnifolium,147,-35.6
Solanum elaeagnifolium,145.6,-35.6
Solanum elaeagnifolium,147,-35.6
Solanum elaeagnifolium,147,-35.6
Solanum elaeagnifolium,145.616,-35.57280003
Solanum elaeagnifolium,139.2466607,-35.55900441
Solanum elaeagnifolium,138.619167,-35.55178947
Solanum elaeagnifolium,138.681106,-35.5240088
Solanum elaeagnifolium,138.69244,-35.52348
Solanum elaeagnifolium,138.68333,-35.51667
Solanum elaeagnifolium,143.6531,-35.5164
Solanum elaeagnifolium,138.26278,-35.51123215
Solanum elaeagnifolium,140.64911,-35.48422
Solanum elaeagnifolium,138.33892,-35.47552
Solanum elaeagnifolium,138.33919,-35.47503
