"species","x","y"
"unique_occ",-61.29427,-38.98466
"unique_occ",-62.26501,-38.70266
"unique_occ",-61.87738,-38.29944
"unique_occ",144.3667,-38.0667
"unique_occ",144.9,-37.8833
"unique_occ",144.9010659,-37.88202099
"unique_occ",144.9010029,-37.88193932
"unique_occ",144.9,-37.88
"unique_occ",144.9,-37.8667
"unique_occ",-71.37389,-37.8525
"unique_occ",-71.37398,-37.85249
"unique_occ",144.95,-37.8
"unique_occ",144.9,-37.8
"unique_occ",144.9333,-37.8
"unique_occ",144.87007,-37.64291
"unique_occ",144.86,-37.63
"unique_occ",140.3552852,-37.59733746
"unique_occ",-64.53,-37.41
"unique_occ",-70.28,-37.38
"unique_occ",140.5769383,-37.26122348
"unique_occ",140.7849939,-37.10316078
"unique_occ",140.78,-37.1
"unique_occ",140.7833,-37.1
"unique_occ",140.77,-37.1
"unique_occ",140.7872138,-37.09511071
"unique_occ",-64.28,-37.03
"unique_occ",140.8,-37
"unique_occ",-59.85,-36.78
"unique_occ",142.3925,-36.7253
"unique_occ",142.3925,-36.7252
"unique_occ",142.2,-36.7167
"unique_occ",142.3366415,-36.71148569
"unique_occ",142.25,-36.6667
"unique_occ",140.86179,-36.49476
"unique_occ",144.75,-36.4833
"unique_occ",146.2167,-36.4667
"unique_occ",140.59583,-36.37389004
"unique_occ",140.7391545,-36.3234366
"unique_occ",140.774984,-36.31427625
"unique_occ",144.0167,-36.3
"unique_occ",144.0188368,-36.29897004
"unique_occ",144.06667,-36.26667
"unique_occ",144.25,-36.2167
"unique_occ",140.3563764,-36.15065875
"unique_occ",143.7167,-36.1167
"unique_occ",140.3544258,-36.09815847
"unique_occ",144.6333,-35.9167
"unique_occ",146.0753,-35.91669003
"unique_occ",144.63,-35.91
"unique_occ",144.6,-35.9
"unique_occ",-70.8906,-35.8156
"unique_occ",144.6,-35.8
"unique_occ",146.9,-35.77
"unique_occ",145.56429,-35.70172003
"unique_occ",146.9,-35.7
"unique_occ",147.02,-35.67
"unique_occ",145.8,-35.67
"unique_occ",137.59667,-35.66833
"unique_occ",145.57,-35.65
"unique_occ",138.22253,-35.64167
"unique_occ",145.5677,-35.632005
"unique_occ",137.4872287,-35.60984913
"unique_occ",145.6,-35.6
"unique_occ",145.8,-35.6
"unique_occ",147,-35.6
"unique_occ",145.616,-35.57280003
"unique_occ",139.2466607,-35.55900441
